ACGLP
AFMD
AI
AIW
ANH
APOG
ARNC
BCRH
BGG
BGT
BHACR
BKH
APL
GLW
BNED
C
CATYW
CBAK
CEE
CHN
CLNE
CLNS
CMFN
CNAT
CRTN
CTDD
DGLT
DS
EDAP
EDGE
EEMA
ELJ
EPR
EQC
EVF
FDP
FEM
FNLC
FPAY
FRBA
FSBW
FYC
GCO
GDL
GMRE
GPAC
GPM
HLIT
HRC
HSON
HTGX
INN
INOD
INSG
JTA
KKR
KLIC
KMDA
LBIO
LIND
LPTH
LUNA
MDLY
MGCD
MIIIU
MMU
MPCT
MSD
MTB
NBEV
NBIX
NERV
NXTDW
OFG
PCH
PPP
QEP
RDIB
RIV
ROIC
ROST
RY
GLW
SGOC
SLIM
SMMT
SPWH
SVU
SWKS
TCRZ
TSO
UCFC
UN
USLM
UTL
VRX
WBS
WETF
WFC.WS
WSR
XCO
MDB
VMW
